id,number,name,types,H,A,B,C,D,S,total,images,ability,s_ability,nameKo,grade,prevEvolutions,nextEvolutions,note
6712,1,bulbasaur,"[""독"",""풀""]",45,49,49,65,65,45,318,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png"",""https://play.pokemonshowdown.com/sprites/ani/bulbasaur.gif""]","[""심록""]","[""엽록소""]",이상해씨,,[],"[""이상해풀""]",
6713,2,ivysaur,"[""독"",""풀""]",60,62,63,80,80,60,405,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png"",""https://play.pokemonshowdown.com/sprites/ani/ivysaur.gif""]","[""심록""]","[""엽록소""]",이상해풀,,"[""이상해씨""]","[""이상해꽃""]",
6714,3,venusaur,"[""독"",""풀""]",80,82,83,100,100,80,525,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png"",""https://play.pokemonshowdown.com/sprites/ani/venusaur.gif""]","[""심록""]","[""엽록소""]",이상해꽃,,"[""이상해풀""]","[""메가 이상해꽃""]",
6715,4,charmander,"[""불꽃""]",39,52,43,60,50,65,309,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png"",""https://play.pokemonshowdown.com/sprites/ani/charmander.gif""]","[""맹화""]","[""선파워""]",파이리,,[],"[""리자드""]",
6716,5,charmeleon,"[""불꽃""]",58,64,58,80,65,80,405,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png"",""https://play.pokemonshowdown.com/sprites/ani/charmeleon.gif""]","[""맹화""]","[""선파워""]",리자드,,"[""파이리""]","[""리자몽""]",
6717,6,charizard,"[""불꽃"",""비행""]",78,84,78,109,85,100,534,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png"",""https://play.pokemonshowdown.com/sprites/ani/charizard.gif""]","[""맹화""]","[""선파워""]",리자몽,,"[""리자드""]","[""메가 리자몽 X"",""메가 리자몽 Y""]",
6718,7,squirtle,"[""물""]",44,48,65,50,64,43,314,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png"",""https://play.pokemonshowdown.com/sprites/ani/squirtle.gif""]","[""급류""]","[""젖은접시""]",꼬부기,,[],"[""어니부기""]",
6719,8,wartortle,"[""물""]",59,63,80,65,80,58,405,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png"",""https://play.pokemonshowdown.com/sprites/ani/wartortle.gif""]","[""급류""]","[""젖은접시""]",어니부기,,"[""꼬부기""]","[""거북왕""]",
6720,9,blastoise,"[""물""]",79,83,100,85,105,78,530,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png"",""https://play.pokemonshowdown.com/sprites/ani/blastoise.gif""]","[""급류""]","[""젖은접시""]",거북왕,,"[""어니부기""]","[""메가 거북왕""]",
6721,10,caterpie,"[""벌레""]",45,30,35,20,20,45,195,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png"",""https://play.pokemonshowdown.com/sprites/ani/caterpie.gif""]","[""인분""]","[""도주""]",캐터피,,[],"[""단데기""]",
6722,11,metapod,"[""벌레""]",50,20,55,25,25,30,205,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png"",""https://play.pokemonshowdown.com/sprites/ani/metapod.gif""]","[""탈피""]",[],단데기,,"[""캐터피""]","[""버터플""]",
6723,12,butterfree,"[""벌레"",""비행""]",60,45,50,90,80,70,395,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png"",""https://play.pokemonshowdown.com/sprites/ani/butterfree.gif""]","[""복안""]","[""색안경""]",버터플,,"[""단데기""]",[],
6724,13,weedle,"[""독"",""벌레""]",40,35,30,20,20,50,195,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png"",""https://play.pokemonshowdown.com/sprites/ani/weedle.gif""]","[""인분""]","[""도주""]",뿔충이,,[],"[""딱충이""]",
